x,y,z,mag,raise-hand
-4.017470385742187,8.79150849609375,-1.0869675537109373,9.726879684668893,raise-hand
-4.2329485351562495,8.808267907714843,-1.3000515014648437,9.85867996954063,raise-hand
-4.125209460449218,8.801085302734375,-1.0797849487304687,9.7796927934415,raise-hand
-4.000710974121094,8.949525805664061,-1.1659762084960936,9.872142673375363,raise-hand
-4.53940634765625,8.686163623046875,-1.1420341918945311,9.86711156169529,raise-hand
-3.833116857910156,8.882488159179687,-1.0965443603515623,9.736210262652568,raise-hand
-4.3430818115234375,9.392453112792968,-1.5442600708007812,10.462565376802653,raise-hand
-5.7077767578125,12.85207451171875,-1.7956512451171873,14.17670265491543,raise-hand
-9.962273107910155,10.81460889892578,-4.967968444824218,15.520417571124938,raise-hand
-9.897629663085937,9.239224206542968,-6.847416748046874,15.172786593365142,raise-hand
-5.116408947753906,8.418013037109375,-5.166687182617188,11.123634318720676,raise-hand
-0.8643067993164062,5.307945080566406,-0.7302315063476562,5.427204185813949,raise-hand
-0.5027823486328125,2.839523168945312,-0.35194764404296874,2.905090198465678,raise-hand
-0.8212111694335937,2.437297290039062,-5.015852478027344,5.6368060057241,raise-hand
4.4819455078125,6.995857250976562,-6.358999609374999,10.462634956982557,raise-hand
-2.8610709838867185,6.186617089843749,-4.395754248046875,8.110648161547102,raise-hand
-3.5697546752929687,6.399701037597656,-4.76924970703125,8.743286829357835,raise-hand
-3.373430139160156,6.698976245117187,-4.618415002441406,8.808295565613948,raise-hand
-2.77727392578125,7.228094812011718,-4.84586416015625,9.134604782306782,raise-hand
-3.399766357421875,7.086836914062499,-5.4013189453125,9.537081056621476,raise-hand
-2.4061726684570313,7.625532287597656,-6.229712719726562,10.136455502292055,raise-hand
-2.3535002319335936,7.790732202148437,-6.2584431396484375,10.266575968623458,raise-hand
-2.971204260253906,7.343016491699219,-5.425260961914062,9.60111464666402,raise-hand
-2.6192566162109374,7.606378674316406,-6.121973645019531,10.109206846680598,raise-hand
-1.8722656982421875,7.678204724121093,-5.585672473144531,9.677806756056576,raise-hand
-2.8898014038085935,7.807491613769531,-5.2433016357421875,9.838703649155837,raise-hand
-2.5163059448242184,7.752424975585937,-5.255272644042968,9.697926539898758,raise-hand
-2.003946789550781,7.809885815429687,-5.604826086425781,9.819582203153027,raise-hand
-1.7860744384765623,7.56567724609375,-5.365405920410156,9.445481183222611,raise-hand
