x,y,z,mag,raise-hand
-5.224148022460938,8.355763793945313,-1.0462661254882812,9.909852872073033,raise-hand
-5.216965417480468,8.21690009765625,-1.0678139404296874,9.79154747695309,raise-hand
-5.111620544433594,8.188169677734374,-0.7924807495117187,9.685185233127495,raise-hand
-5.011064074707031,8.40843623046875,-0.6679822631835937,9.811155044468864,raise-hand
-5.494692810058593,8.327033374023436,-0.6464344482421874,9.99745024418146,raise-hand
-5.365405920410156,8.281543542480469,-0.7948749511718749,9.899665162255378,raise-hand
-5.212177014160156,8.358157995605469,-0.8954314208984374,9.890773060584056,raise-hand
-5.691017346191406,9.801861596679688,-0.5506663818359374,11.347572544786829,raise-hand
-7.321468676757812,13.66849727783203,1.39821376953125,15.568773977553729,raise-hand
-11.003750830078124,11.832144604492187,-3.881000891113281,16.617591467745278,raise-hand
-8.856151940917968,10.153809240722655,-8.942343200683593,16.17086179572449,raise-hand
-9.639055883789062,6.253654736328125,-4.896142395019531,12.489667979746912,raise-hand
-4.218583325195312,7.094019519042968,-3.9240965209960934,9.138932744816115,raise-hand
-0.3327940307617187,5.200206005859375,-3.5098996337890624,6.282697653839404,raise-hand
-0.8595183959960937,3.3877953491210935,-4.407725256347656,5.625297426450198,raise-hand
-0.59376201171875,5.233724829101562,-6.548141540527343,8.403724564030778,raise-hand
-1.5753846923828123,6.806715319824218,-4.3813890380859375,8.246804246323748,raise-hand
-4.874594580078124,6.351817004394531,-3.778050219726562,8.85329966962705,raise-hand
-3.7397429931640622,6.998251452636718,-4.893748193359374,9.322551819607106,raise-hand
-2.4133552734375,7.888894470214844,-5.011064074707031,9.652445431020803,raise-hand
-3.1100679565429687,7.8338278320312495,-4.484339709472656,9.54728672588061,raise-hand
-2.767697119140625,7.771578588867187,-5.315127685546875,9.813672269844,raise-hand
-2.1164742675781247,7.905653881835937,-5.801150622558594,10.031558960117811,raise-hand
-2.6958710693359373,7.3932947265625,-5.178658190917968,9.42056412295257,raise-hand
-2.9185318237304685,7.594407666015624,-5.446808776855469,9.790841723539103,raise-hand
-2.7269956909179687,7.697358337402343,-5.284003063964843,9.726588263756845,raise-hand
-2.8107927490234372,7.922413293457031,-4.754884497070313,9.65785249684354,raise-hand
-2.6479870361328124,7.694964135742187,-4.876988781738281,9.48732459501028,raise-hand
-2.817975354003906,7.544129431152343,-5.042188696289062,9.501502029612876,raise-hand
