x,y,z,mag,point
-4.589684582519531,8.79150849609375,-0.7350199096679687,9.9446508471396,point
-4.589684582519531,8.846575134277343,-0.8643067993164062,10.003705434326633,point
-4.568136767578125,8.8489693359375,-0.6512228515624999,9.979790731175603,point
-4.357447021484375,8.626308581542968,-0.8978256225585937,9.706010258472203,point
-4.584896179199219,8.731653454589843,-1.254561669921875,9.94167843016075,point
-4.479551306152343,8.78432589111328,-1.197100830078125,9.932965904658488,point
-4.786009118652344,8.571241943359375,-0.928950244140625,9.860781931039512,point
-4.879382983398437,8.508992700195313,-2.5330653564453125,10.130535779053286,point
-7.050923889160156,8.389282617187499,-9.200916979980468,14.309174112934212,point
-6.138733056640625,9.133879333496093,-8.86812294921875,14.133485057197309,point
-4.958391638183594,7.161057165527343,-5.930437512207031,10.537384706451208,point
4.469974499511719,3.5146880371093747,-2.3965958618164063,6.170686813423633,point
11.336544860839844,-3.210624426269531,-0.4381389038085937,11.790560813100598,point
19.61270144958496,-2.099714855957031,-1.4891934326171874,19.78091397551258,point
10.527304699707031,-2.118868469238281,-3.4165257690429685,11.268824080663455,point
9.260772021484375,-1.1156979736328125,-4.695029455566406,10.442699937799244,point
10.402806213378906,-0.02154781494140625,-4.8889597900390624,11.494379898457433,point
8.686163623046875,0.2609679809570312,-4.3813890380859375,9.732117584394839,point
8.678981018066406,0.22026655273437498,-3.8474820678710935,9.496122741877343,point
8.889670764160156,0.354341845703125,-4.015076184082031,9.760770523004977,point
9.402029919433593,0.6464344482421874,-4.182670300292968,10.310711660343893,point
9.141061938476563,0.5985504150390625,-3.536235852050781,9.819482672918042,point
8.82981572265625,0.7278373046875,-3.689464758300781,9.597267477824388,point
8.999804040527343,0.8044517578125,-3.782838623046875,9.795584895582044,point
9.09796630859375,0.679953271484375,-3.469198205566406,9.760669218512348,point
9.299079248046874,0.5291185668945312,-3.6152445068359373,9.991137781228721,point
9.277531433105468,0.603338818359375,-3.6631285400390623,9.992753270387896,point
